Ingredient,Join name to ingredient,Join to units,Shopping portion1,Shopping portion2,Shopping portion3
Canola oil,Canola oil,millilitre,250,1000,2000
Red wine,Red wine,millilitre,750,,
Apple,Apple,pieces,4,6,7
Lime,Lime,pieces,2,3,4
Lemon,Lemon,pieces,1,2,3
Egg-white,Egg-white,pieces,6,10,12
Celery,Celery,pieces,2,3,4
Bell Pepper (Yellow),Bell Pepper (Yellow),pieces,1,3,4
Bell Pepper (Green),Bell Pepper (Green),pieces,1,3,4
Bell Pepper (Orange),Bell Pepper (Orange),pieces,1,3,4
Bell Pepper (Red),Bell Pepper (Red),pieces,1,3,4
Garlic,Garlic,pieces,2,3,4
Butter Lettuce,Butter Lettuce,pieces,1,2,3
Onion,Onion,pieces,2,3,4
Coral lettuce,Coral lettuce,pieces,1,2,3
Lettuce,Lettuce,pieces,1,2,3
Egg yolk,Egg yolk,pieces,6,10,12
Pepper,Pepper,pieces,35,40,100
Eggplant,Eggplant,pieces,1,2,3
Avocado,Avocado,pieces,1,2,3
Yellow onion,Yellow onion,pieces,2,3,4
Egg,Egg,pieces,6,10,12
Red Kidney Beans,Red Kidney Beans,can,1,,
Tomato Puree,Tomato Puree,gram,30,130,200
Beef Mince,Beef Mince,gram,250,400,500
Chilli Con Carne Mix,Chilli Con Carne Mix,gram,24,40,50
Chicken Spice,Chicken Spice,gram,34,58,
Chicken (whole),Chicken (whole),each,1,,
Black Treacle,Black Treacle,gram,454,907,
Brown sugar,Brown sugar,gram,500,1000,
Bicarbonate Soda,Bicarbonate Soda,gram,7,200,500
Baking soda,Baking soda,gram,5,160,170
Ground Ginger,Ground Ginger,gram,26,35,
Gluten-free Self Raising Flour,Gluten-free Self Raising Flour,gram,500,1000,
Chopped Tomato,Chopped Tomato,gram,210,400,
Courgette,Courgette,each,1,,
