Step number,Step content,Recipes
10,Add parmesan cheese. If there is mozzarella left cut in small pieces and add in top.,13
11,Cook the parmigiana in the oven at 400 for 35 minutes. The top crust should be golden and when cutting the cheese stringy,13
12,Let it rest for 10 minutes before cutting and serve.,13
0,Preheat the oven at 375°.,14
1,"Season the salmon fillets with generous amount of coriander, salt and pepper.",14
2,"In a large pan filled with salted water, cook the red potatoes rounds. When almost done 6 to 8 minutes, slightly tender when pierced with a knife add the frozen peas. Cook for another 2 minutes. Drain and transfer to a large salad bowl. Drizzle with some olive oil and season with salt and pepper. Mix well and set aside.",14
3,Line a cookie sheet with aluminum foil. Spread the lime on the cookie sheet. Sit in top the salmon fillets and place a couple more slices of lime over the fillets.,14
4,Bake in the oven for 15 to 18 minutes. Remove from the oven and lightly drizzle olive oil over the fillets.,14
5,"Add the thinly sliced radishes,  baby green and arugula to the potatoes. Add the vinegar and more olive oil to season and toss well.",14
6,Divide the salad amongst 4 dishes and place the salmon fillets over it.,14
0,Clean the baby beets and leave about 1-inch of the stems. Wrap them on aluminum foil and roast at 350F for about 1 hour to 1½ hour. Remove from foil and allow to cool. Then peel the skin by gently rubbing it off. You can leave them whole or slice them as you prefer.,15
1,In a large bowl whisk salt and vinegar until the salt has dissolved. Add the olive oil and whisk until all blended.,15
2,Add the beets and the salad to the bowl and gently toss until all the dressing cover the leaves.,15
3,Serve on a plate and sprinkle the crumble feta cheese over it,15
0,Preheat oil over medium heat in a good-quality nonstick pan.,16
1,"Season potatoes well, and the place in a single layer in pan. Cook on one side without turning until it is golden brown and crispy. Flip potatoes and repeat on the other side.",16
2,Remove from pan and serve hot.,16
0,For the Chicken Wings:,17
1,Preheat the oven to 400 degrees F. Lightly oil two baking sheets.,17
2,"Divide the dried chicken wings onto the prepared baking sheets, toss with the vegetable oil. Set aside.",17
3,"In a small bowl add the salt, pepper, brown sugar, chili powder paprika, cumin, dried mustard, garlic powder, onion powder, cayenne pepper and oregano and mix to blend.",17
4,"Sprinkle the spice rub over both trays of chicken. Using your hands, rub the spice mixture all over the chicken wings making sure to coat both sides. Spread the wings out evenly in one layer. Place in the oven and bake, rotating once, until crispy and beginning to turn gold brown, about 45 minutes. Serve with blue cheese dip.",17
5,For the Blue Cheese Dip:,17
6,"In a small mixing bowl, use a masher (or fork) to mash the blue cheese.",17
7,"Add the yogurt, mayonnaise, sour cream, lemon juice, vinegar and garlic powder and mix well to blend.",17
8,Season with salt and pepper to taste.,17
0,Marinate chicken for about 15 minutes.,18
1,Rinse onions and capsicums. Dice and add into chicken. Mix well.,18
2,"Sprinkle some flour onto your hand or gloves if you are wearing, and divide the chicken mixture into 8 equal parts. Take one and roll it into a ball, then flatten with your palm. Place on a parchment paper until they are ready to use.",18
3,Heat oil and pan fry the chicken patties till golden brown and do the same for the other side.,18
4,Remove half of the meat patties and place them on a serving plate. Put a slice of tomato on each patty and spread some mustard.,18
5,"Next, tear some lettuce and rinse lightly. Lay them on top of the tomatoes and cover with another patty.",18
6,Insert a cocktail stick into each burger and you are ready to serve your Healthy Mini Chicken Burgers!,18
0,Put the water for the noodles on to boil and toss in some salt.,19
1,"Place the ground beef and onions in a large skillet over medium-high heat, and sprinkle on the salt, seasoning salt, onion powder, black pepper, garlic powder, dried parsley, and fresh thyme.",19
2,"Brown the ground beef and onions, stirring frequently, until there is no more pink. Pour in the sherry or beef broth, and bring up to a simmer.",19
3,"Whisk together the milk and cornstarch, and stir into the sauce. Simmer over medium-low heat until slightly thickened.",19
4,"When the water begins to boil, put the noodles in and cook until they are almost done. When they are about 3-4 minutes from done, drain well and add into the beef mixture.",19
5,"Remove the stroganoff from the heat, stir to combine, and add in the sour cream. Stir to mix and serve immediately with crusty bread and your favorite vegetable.",19
0,"Bring to a boil 6 cups of water. Have ready a bowl of ice water. Add peas and 1 tablespoon of salt to the water and cook the peas for about 3 minutes, or until they are tender. Drain the peas and transfer them to the ice bath.",20
1,"Bring another 6 cups of water to a boil. Add the potatoes and another tablespoon of salt and cook until just tender, 5 to 10 minutes.  Drain the potatoes and let them cool off in a single layer in a cookie sheet so they will not overcook.",20
2,Whisk together the lemon juice and olive oil.,20
3,Combine the shallots and potatoes in a large bowl and toss with just enough of the lemon juice and olive oil to coat them well.,20
4,Rub the salmon all over with olive oil and season freely with the salt and pepper. Heat a large skillet with a shadow of olive oil over high heat. Add the fillets once hot and seat them without moving them for 4 minutes. Turn the fillets over and continue cooking until the salmon feels firm to the touch but still deep pink in the center. Another 3 to 4 minutes.,20
5,"Just before serving, toss the peas and mint with the potatoes, adding a little more dressing to coat the peas well. Season with salt and pepper. Add the green salad and toss, adding a little bit more dressing if need be,",20
6,Spoon some salad into each plate and place the salmon on top of each salad. Drizzle with any remaining dressing. Serve with a wedge of salmon if you wish.,20
0,Preheat the oven to 400°.,21
1,Roll out the pie crust in a 9-inch pie dish. Make sure the crust is all the way up to the rim. Poke lightly the dough and place in the hot oven for 5 to 7 minutes.,21
2,Remove and let it cool off.,21
3,"In a large bowl whisk together the eggs, heavy cream, vanilla extract and the brown sugar.",21
4,Add the sliced apples and strawberries to the pie dish. Cover with the egg mixture.,21
5,Place a pie shell shield to cover the border of the dough or make one with aluminum foil.,21
6,"Lower the heat to 375°. Bake the cake for 40 to 50 minutes. The top should be nice a golden brown, and the middle should not be runny.",21
0,Preheat the oven at 350F. Place the rack on the lower part of the oven.,22
1,"Trim all the fat from the pork shoulder and cut into 1-inch cubes. In a large cast enamel pot, over medium high, heat the olive oil. Add half of the pork cubes, do not overcrowd the pot, sear for a couple of minutes. Remove the meat from the pan and place on a plate. Add the remaining pork shoulder to the pan and sear for about a couple of minutes. Remove from the pot and add with the first batch.",22
2,"Add the wine and vinegar to the pot and scrape any bits that may have stuck to the bottom or sides. Add the onions, carrots, garlic and ginger. Lower the heat to medium and cook for about 5 minutes, stirring occasionally, until the onions are soft.",22
3,Add the pork shoulder back to the pot over the onion’s carrots mixture. Season with salt and pepper. Add lime juice and fresh thyme. Stir all. Add the chicken broth to slightly cover the pork. (you may have some stock left over),22
4,"Cover with a tight lid and place in the hot oven. Cook for about 2 to 2 ½ hours, covered and stirring once in a while.",22
1,Peel apples and put inside chicken in a roasting dish,24
2,Sprinkle chicken spice (or all spice & mixed spice) on outside of chicken,24
3,Cover chicken in foil and put in oven at 180 degrees for 30mins for each 0.5kg,24
4,Remove foil and put back in the oven till brown (20-30mins),24
1,Preheat your oven to 160C Fan,26
2,Place all your ingredients for the pudding except the milk into a large bowl and whisk together to combine.,26
3,Add the milk in slowly (in about 3 batches) and continue to whisk until everything is combined.,26
4,Pour your mixture into a greased casserole dish. Mine was a 26cm x 20cm Falcon pie dish (5cm high). Pop into the oven for about 40 minutes. It should have risen up. Remove from the oven but keep in the dish - this is where you will serve it from.,26
5," Whilst the pudding is cooking you might like to make your sauce. Pop all your ingredients into a saucepan, allowing the butter/margarine to melt and the sugar to dissolve. Keep stirring. Bring to the boil and stir for a few minutes more before removing from the heat.",26
6,"To serve, pour a little of the sauce over each portion of sticky toffee pudding. If everything has cooled I like to heat it briefly in the microwave again. I always like to eat it hot. Enjoy!",26
1,Brown mince with a little bit of oil,25
2,Pour out fat,25
3,"Add chopped tomatoes (2-3 tins), tomato puree, wine, chopped basil, oregano and simmer till boil",25
4,"Chop carrots, mushrooms, courgettes and add to mince",25
5,Simmer on low heat for 1.5hrs,25
6,Add chopped fresh basil 10mins before serving,25
1,Brown mince with a little bit of oil,23
2,Pour out fat,23
3,"Add chopped tomatoes (2-3 tins), tomato puree, most spices and simmer till boil",23
4,Chop peppers & mushrooms and drain beans. Add to mince,23
5,Simmer on low heat for 1.5hrs,23
6,Add 1 teaspoons of paprika & cumin 20 mins before serving,23
